age,balance,duration,campaign,subscribed
56,5387,367,3,0
46,34487,551,6,1
32,8612,430,9,0
60,1442,63,9,0
25,43436,553,7,1
38,19316,280,3,0
56,27634,133,4,0
36,14331,179,6,0
40,32393,194,5,0
28,26714,77,2,0
28,36358,115,6,0
41,28353,212,3,0
53,42178,278,8,1
57,40852,310,2,1
41,18088,498,1,0
20,31137,473,9,1
39,12319,509,3,0
19,335,350,1,0
41,43029,352,7,1
61,2008,336,5,0
47,8667,444,5,0
55,36398,59,1,0
19,5356,319,9,0
38,19119,410,7,0
50,8262,306,8,0
29,5515,182,9,0
39,36259,325,6,1
61,44025,562,5,1
42,6051,362,6,0
44,21952,333,2,1
59,8107,170,4,0
45,41932,156,3,0
33,30623,253,7,1
32,23425,214,9,0
64,21304,354,5,1
61,15624,546,6,0
20,19382,205,2,0
54,24030,416,3,1
24,177,300,3,0
38,40445,383,9,1
26,20711,560,7,1
56,17084,342,8,0
35,14160,69,9,0
21,17549,331,6,0
42,18620,50,4,0
31,43403,168,1,0
26,9610,84,8,0
43,29387,247,7,0
19,28273,534,2,1
37,39811,108,8,0
45,12054,210,5,0
64,7904,255,7,0
24,6665,61,4,0
61,6084,539,5,0
25,21626,325,8,1
64,37538,291,1,1
52,18674,265,1,0
31,9284,300,4,0
34,19196,175,3,0
53,2292,266,2,0
57,34116,355,3,1
21,11346,234,1,0
19,45658,88,1,0
23,18481,272,6,0
59,36555,233,5,0
21,26827,544,8,1
46,4118,476,2,0
35,11402,227,4,0
43,2070,477,8,0
61,41257,343,6,1
51,27302,200,1,0
27,31210,433,4,1
53,17686,357,1,0
31,24619,385,2,1
48,31373,424,5,1
32,22051,57,8,0
25,15474,390,8,0
31,5888,178,3,0
40,5508,401,4,0
57,25153,407,6,1
38,9546,566,3,0
33,1022,544,2,0
62,33287,135,6,0
35,10889,224,5,0
64,32284,242,5,0
41,1220,360,5,0
43,44128,168,5,0
42,32254,267,3,1
62,17434,476,7,0
58,2436,463,6,0
46,38241,163,4,0
32,2343,194,2,0
62,19129,587,9,0
18,32365,352,1,1
42,37480,394,4,1
24,46814,50,1,0
26,43972,196,6,0
41,46297,336,4,1
18,23810,102,5,0
61,29586,353,5,1
25,6471,118,9,0
41,6459,410,1,0
28,40731,269,2,1
34,36096,210,6,0
25,20203,138,5,0
52,14482,208,7,0
52,18855,538,3,0
50,35759,373,3,1
22,3856,430,2,0
59,20709,151,3,0
56,48638,543,1,1
58,16578,68,5,0
45,35542,503,5,1
24,39766,531,7,1
26,10247,446,4,0
25,33661,328,3,1
29,34984,414,1,1
51,5879,380,8,0
50,12398,393,3,0
40,14253,504,2,0
41,43979,114,4,0
54,10889,125,3,0
52,44265,192,1,0
61,13099,522,3,0
57,914,466,2,0
39,49597,354,8,1
44,10641,546,6,0
52,25038,340,9,1
18,2543,151,8,0
52,10557,316,3,0
54,10480,52,5,0
64,7883,134,7,0
31,44341,377,5,1
20,17468,499,8,0
18,15428,503,5,0
22,26315,270,1,1
43,33695,203,5,0
31,27406,61,4,0
56,20015,182,6,0
44,40015,353,3,1
26,37319,342,5,1
32,15443,349,2,0
32,46503,92,6,0
43,38827,392,6,1
59,226,375,5,0
30,27732,547,6,1
49,41663,413,7,1
56,44509,476,5,1
49,20630,70,1,0
21,40064,456,8,1
47,44427,385,4,1
54,3468,166,9,0
40,3897,173,6,0
56,47982,448,1,1
62,13818,100,3,0
32,34660,373,3,1
60,11153,190,4,0
46,22216,519,6,1
53,36344,383,7,1
30,36285,422,4,1
49,1745,543,6,0
24,47623,588,1,1
39,19356,205,8,0
45,35940,340,7,1
19,34722,193,9,0
59,37530,155,3,0
62,39382,469,2,1
23,2808,51,1,0
45,11794,139,3,0
45,9624,394,5,0
61,31980,399,2,1
61,39324,508,3,1
37,37080,312,4,1
47,32509,400,7,1
28,13324,157,3,0
45,40838,88,9,0
42,25250,208,8,0
